"","blue_mean","green_mean","red_mean","rededge_mean","nir_mean","arvi_mean","cig_mean","evi_mean","gndvi_mean","ndvi_mean","psri_mean","rndvi_mean","blue_max","green_max","red_max","rededge_max","nir_max","arvi_max","cig_max","evi_max","gndvi_max","ndvi_max","psri_max","rndvi_max","blue_min","green_min","red_min","rededge_min","nir_min","arvi_min","cig_min","evi_min","gndvi_min","ndvi_min","psri_min","rndvi_min","blue_ran","green_ran","red_ran","rededge_ran","nir_ran","arvi_ran","cig_ran","evi_ran","gndvi_ran","ndvi_ran","psri_ran","rndvi_ran","blue_sd","green_sd","red_sd","rededge_sd","nir_sd","arvi_sd","cig_sd","evi_sd","gndvi_sd","ndvi_sd","psri_sd","rndvi_sd","blue_cv","green_cv","red_cv","rededge_cv","nir_cv","arvi_cv","cig_cv","evi_cv","gndvi_cv","ndvi_cv","psri_cv","rndvi_cv","objectid","baumklasse","laubbaumar","nadelbauma","bhd1","bhd2","bhdmean","stamm_vita","stamm_kaef","stamm_form","stamm_fo_1","stamm_fo_2","stamm_vi_1","stamm_vi_2","stamm_vi_3","krone_vita","krone_vi_1","krone_vi_2","stamm_vi_4","stamm_vi_5","krone_vi_3","krone_verl","krone_troc","datum_erfa","datum_aend","stamm_laub","stamm_laus","stamm_nekr","stamm_riss","stamm_ruec","stamm_sonn","stamm_nade","stamm_vi_6","krone_astb","krone_hexe","krone_kaef","krone_mist","krone_nade","krone_laub","krone_na_1","krone_la_1","krone_la_2","krone_la_3","krone_la_4","krone_la_5","nutzer","ORIG_FID","BUFF_DIST"
"1",0.345585406513962,0.776015508486515,0.362547145996993,0.861909678720438,1.06081702280265,1.06491826358081,0.387021379449917,0.514979786724162,0.157142571957907,0.487265089829076,0.022701607889199,0.104757151915071,0.950690388679504,1.47778582572937,0.996166586875916,1.64832258224487,1.74517405033112,2.13744833314214,0.981303385403052,6.63191184004764,0.329152474118425,0.708014733985411,0.498850861092827,0.267266144250407,0.14192821085453,0.342012614011765,0.14861673116684,0.395877659320831,0.413172662258148,-0.672830984675084,-0.367711456371728,-5.39827528470943,-0.225273563186551,-0.207484236909743,-0.176288399471754,-0.133045250942472,0.808762177824974,1.1357732117176,0.847549855709076,1.25244492292404,1.33200138807297,2.81027931781722,1.34901484177478,12.0301871247571,0.554426037304976,0.915498970895154,0.675139260564581,0.400311395192879,0.0954399626532603,0.193234356504068,0.103765116749803,0.206687344026301,0.236582839561714,0.341297511394796,0.177865635105193,0.507240431658496,0.0678741641678853,0.121441858371668,0.0618027982875831,0.0469614022434076,0.27616896099866,0.249008369537535,0.286211373873741,0.239801627860986,0.223019459978753,0.320491743889503,0.459575735474865,0.984971536232719,0.431927283117564,0.249231600840249,2.72239739974487,0.44828826848481,3666,"nadel",NA,"Fichte",38.9,38.5,38.7,"leichter Schaden","leicht","gradschaftig",0,0,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","leicht","leicht",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,162,0.5
"2",0.332914370274733,0.667705948596665,0.354561682475785,0.76462061973303,1.07270816043286,1.06012833433725,0.667632021981009,0.474323626576057,0.238098841300693,0.486239615958831,0.0355252048631438,0.176753579191514,1.65207672119141,1.77643811702728,1.43468153476715,1.58681178092957,2.03247499465942,2.3481347036,2.01759180298814,8.72068788248719,0.502189346734411,0.754306303071587,0.617191167001014,0.39771019022873,0.080874502658844,0.146163314580917,0.0956491008400917,0.163938328623772,0.310597628355026,-0.312186238082592,-0.361355236395928,-26.1424908267048,-0.220520789143557,-0.147442651679318,-0.247157466612153,-0.0633672090134106,1.57120221853257,1.63027480244636,1.33903243392706,1.4228734523058,1.72187736630439,2.66032094168259,2.37894703938407,34.863178709192,0.722710135877968,0.901748954750905,0.864348633613167,0.461077399242141,0.142797137459463,0.286217796922693,0.14564424072097,0.33716000445568,0.424006228577137,0.590407270244253,0.340857230133494,1.11106688630139,0.0975121485644274,0.157143438103535,0.0850342330141734,0.0690049793712853,0.428930530519368,0.428658449912337,0.410772646677399,0.440950709089432,0.395267085882931,0.556920564351628,0.510546556952282,2.34242366192405,0.409544826139158,0.323181067411916,2.39363103863177,0.390402161511636,3667,"nadel",NA,"Fichte",49.6,49.3,49.5,"leichter Schaden","nicht vorhanden","gradschaftig",0,0,0,1,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","leicht","nicht vorhanden",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,160,0.5
"3",0.26544712898931,0.682079466319209,0.293388615626627,0.763210281089962,1.06575759265435,1.08039361756367,0.607448165130133,0.65313510739606,0.224969251487731,0.567729644432805,0.0367558972929094,0.168117367895867,0.562641978263855,1.23802077770233,0.684383571147919,1.16355216503143,1.37865734100342,1.5223545745074,1.54685313550732,1.15898891004109,0.436119872013271,0.715787049214719,0.212239272060541,0.31624246719319,0.164167523384094,0.380150020122528,0.178138494491577,0.475360155105591,0.682533383369446,0.382821108503529,-0.253746704825005,-0.974658937526552,-0.145309220332539,0.0994525133585086,-0.118682523739465,-0.0208597657715482,0.398474454879761,0.857870757579802,0.506245076656342,0.688192009925839,0.696123957633974,1.13953346600387,1.80059984033233,2.13364784756764,0.58142909234581,0.61633453585621,0.330921795800006,0.337102232964738,0.0507791355601963,0.142366291984346,0.0618412093660185,0.124666525700563,0.116999278390785,0.159798679488171,0.264120180407188,0.24846876912315,0.0798788601585011,0.0839414225646811,0.0396013649382272,0.0536100062997278,0.191296608682633,0.208723908304431,0.210782580073655,0.163344924445362,0.109780384580127,0.147907833673179,0.434802828568271,0.380424764048824,0.355065679555134,0.147854570195191,1.07741526815798,0.318884401836069,3669,"nadel",NA,"Fichte",50.8,54.4,52.6,"leichter Schaden","nicht vorhanden","gradschaftig",0,0,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","leicht",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,161,0.5
"4",0.380078631908604,0.80601352681069,0.393758463027723,0.834611825557046,1.17027364659762,1.22419490413885,0.509505560063501,0.614937591742538,0.19396250645733,0.498766156599444,0.0165014272760762,0.171543042929484,0.937701642513275,1.57441818714142,0.917405664920807,1.551802277565,1.80841553211212,2.18217278589844,2.10093475910729,11.3327728265376,0.51230631124808,0.746575104063157,0.407996112189893,0.359493658352032,0.130298554897308,0.274643242359161,0.154995858669281,0.323834896087646,0.417287796735764,-0.0468875646397157,-0.185201713700438,-7.67995563412469,-0.102050853308921,0.00258977154293137,-0.627199735041416,0.00822288375332585,0.807403087615967,1.29977494478226,0.762409806251526,1.22796738147735,1.39112773537636,2.22906035053816,2.28613647280773,19.0127284606623,0.614357164557001,0.743985332520226,1.03519584723131,0.351270774598706,0.115480565422974,0.230906860758155,0.116004298486052,0.20235266195526,0.23464066846662,0.322519418926031,0.28079435876975,0.656774629883391,0.0824677510399057,0.10015094341042,0.09039279366978,0.0514238386375897,0.303833353753871,0.286480131011981,0.294607759269633,0.242451227934859,0.200500685586486,0.263454306038714,0.551111471157947,1.06803460823122,0.425173671686119,0.200797391894515,5.47787728645944,0.299772219026851,3670,"nadel",NA,"Fichte",57,53.1,55.1,"gesund","nicht vorhanden","gradschaftig",0,0,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","leicht",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,159,0.5
"5",0.411187560847158,0.866357355758846,0.466580824299874,0.840941580537655,1.18572050917742,1.27032234136977,0.441195827232411,0.463232141327993,0.171937747795504,0.445039375899895,0.0661455412054928,0.177833094329069,1.04113698005676,1.95497024059296,1.1247307062149,1.75610482692719,2.09846234321594,2.58099884184369,1.5754583450994,164.760870818362,0.440631156354753,0.741236004653746,0.620127209982474,0.364457276694607,0.0758055448532104,0.257767528295517,0.105982504785061,0.336768567562103,0.579372048377991,0.448614500497945,-0.145848962640825,-11.2317263926063,-0.078660777737155,0.0655670084071094,-0.279152471769699,0.0141596567289248,0.96533143520355,1.69720271229744,1.01874820142984,1.41933625936509,1.51909029483795,2.13238434134575,1.72130730774023,175.992597210968,0.519291934091908,0.675668996246637,0.899279681752173,0.350297619965682,0.138425357999366,0.30393711877979,0.162701038512798,0.244728034612003,0.266566368049468,0.385096480364,0.258625725155069,3.77447988035767,0.0838846915182423,0.094171873900784,0.0989946841641226,0.0545424611985726,0.336647727655408,0.350821882863302,0.348709226867474,0.291016689239622,0.224813829217135,0.303148632298128,0.586192591116306,8.14813900766254,0.487878273350488,0.211603464772894,1.49661915769316,0.306705910979906,3671,"nadel",NA,"Fichte",36.8,40.4,38.6,"leichter Schaden","nicht vorhanden","gradschaftig",0,0,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","leicht","nicht vorhanden","nicht vorhanden","nicht vorhanden",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,157,0.5
"6",0.532814139990931,1.28688232359172,0.567439059758223,1.48071210267104,1.84913805111954,2.12461460662159,0.535071167847299,1.12871610654338,0.196641100786349,0.544895841490669,0.0242572761639439,0.11858117021155,1.80482161045074,2.40840196609497,2.13958668708801,2.32522678375244,2.38311886787415,3.99171289075255,2.07588707011347,134.098031542773,0.50930927044936,0.884969694078934,0.783403767100952,0.326356625229187,0.000671518675517291,0.410696566104889,0.106947064399719,0.556398451328278,0.791086912155151,0.56720211183248,-0.138465204691261,-21.1249195602075,-0.0743822812445985,-0.0163582738384073,-0.343307210522492,-0.0449776030596555,1.80415009177522,1.99770539999008,2.03263962268829,1.76882833242416,1.592031955719,3.42451077892007,2.21435227480473,155.22295110298,0.583691551693958,0.901327967917341,1.12671097762344,0.371334228288842,0.229335461703542,0.402382043299984,0.268310495743083,0.335639874049982,0.261185888436046,0.403250985350031,0.351434137663035,3.55961371735066,0.105770008932228,0.132006378510673,0.115781259050154,0.0623911306052644,0.43042300211373,0.312679750062093,0.472844600894069,0.226674634079458,0.141247371053726,0.189799591932229,0.656798868600838,3.15368381536766,0.537883527448046,0.242259838411583,4.77305276435992,0.526147030712868,3672,"laub","Bergahorn",NA,22.7,24.1,23.4,"leichter Schaden","nicht vorhanden","Schiefwuchs (leicht)",0,0,0,0,0,0,0,1,0,0,"leichter Schaden","leicht","keine","2021/09/13","2022/01/26","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,"nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden","nicht vorhanden",NA,158,0.5
"7",0.473781737412537,0.725856144112969,0.428412062610986,0.731928106777366,1.10052058210683,1.11580116323955,0.56894465044083,0.42609699719207,0.210159252758062,0.428681295843535,-0.0645908120107131,0.208079048383008,1.53466606140137,1.5942143201828,1.01842176914215,1.71197259426117,2.18637490272522,2.51253859201152,1.7655081351164,55.5545794519906,0.46886318440043,0.746814739697678,0.315128932529013,0.431557723313078,0.101812042295933,0.277150273323059,0.156887859106064,0.280732214450836,0.405647277832031,-0.0990249241356329,-0.220400017849235,-81.97600441906,-0.123848067014963,-0.0549970953432651,-0.794328591100378,-0.0060328567188627,1.43285401910544,1.31706404685974,0.861533910036086,1.43124037981033,1.78072762489319,2.61156351614715,1.98590815296563,137.530583871051,0.592711251415393,0.801811835040943,1.10945752362939,0.437590580031941,0.186430290088757,0.275372641577652,0.141516973249618,0.284011315573674,0.361464891141901,0.494930621242372,0.309181180668397,4.56852007823974,0.0953814648957584,0.143664700377192,0.131210749306277,0.0705239093075975,0.393494040329431,0.379376332088738,0.330329105084329,0.388031710961556,0.328449005878576,0.443565249390329,0.543429278100843,10.7217842612029,0.453853273857815,0.335131720861523,-2.0314150762575,0.338928449815789,3673,"nadel",NA,"Fichte",48,61.3,54.7,"gesund","nicht vorhanden","gradschaftig",0,1,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,156,0.5
"8",0.504383086348191,0.772137817159677,0.434958694432026,0.852515921042516,1.28886620665208,1.35924598343061,0.735634695827625,-3.12919198951846,0.260657901596118,0.493250297355723,-0.0777192226887917,0.211007045190216,1.20273208618164,1.88956725597382,1.03828716278076,1.65266788005829,2.21917581558228,2.67221465282017,1.81776680765025,276.619235743854,0.47613353545002,0.730616358750906,0.385371599550302,0.38166212213616,0.155691057443619,0.162229418754578,0.185538455843925,0.187785029411316,0.289591580629349,-0.163251498761168,0.00680827660356487,-7033.75149148498,0.00339258945806599,-0.0134264604282871,-0.568361588433127,0.0640913591717342,1.04704102873802,1.72733783721924,0.852748706936835,1.46488285064697,1.92958423495293,2.83546615158134,1.81095853104669,7310.37072722883,0.472740945991954,0.744042819179193,0.953733187983429,0.317570762964426,0.159331976767169,0.265164393289643,0.135401457221269,0.266971239641786,0.33099912286458,0.432848992957037,0.296264950613108,160.392956412471,0.077066047785189,0.105967596120085,0.103675133356152,0.0532637164665711,0.315894765466377,0.343415886900936,0.311297277085306,0.313156896020564,0.256814183781243,0.318447873478033,0.402733792048506,-51.2569880498617,0.295659741420771,0.214835341586552,-1.3339702813459,0.252426246804014,3674,"nadel",NA,"Fichte",56.4,57.8,57.1,"gesund","nicht vorhanden","gradschaftig",0,0,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,153,0.5
"9",0.564858801739182,0.736199466788049,0.502933501861723,0.774071469689465,1.12206575240913,1.14469466612194,0.6295611576196,2.8332704972381,0.214682593623107,0.380186034639999,-0.0816840674917991,0.185533471776838,1.92436850070953,1.62386870384216,1.66500580310822,1.6029314994812,1.86410295963287,2.467057739305,3.02120620234561,1541.34409328291,0.601689331327257,0.745664557264723,0.585805580290032,0.417411359132102,0.156599491834641,0.213557153940201,0.152985841035843,0.22934365272522,0.243162393569946,-1.00330880589653,-0.431078365858649,-84.8915586836954,-0.274760929085264,-0.331099344732574,-0.817387503045423,-0.0640374289225205,1.76776900887489,1.41031154990196,1.51201996207238,1.37358784675598,1.62094056606292,3.47036654520153,3.45228456820426,1626.23565196661,0.876450260412521,1.0767639019973,1.40319308333545,0.481448788054622,0.218226687301011,0.244947647728815,0.180028281675227,0.216801125514714,0.26781151028766,0.403264601612608,0.488753877125343,44.6597610937174,0.138189431581851,0.178261931734818,0.144802689071088,0.0813682558696947,0.386338473666514,0.332719132217648,0.357956431633231,0.280078951368261,0.238677198473134,0.352290102808647,0.776340584564244,15.7626181959161,0.643691830109216,0.46888079911619,-1.77271643684524,0.438563753970849,3675,"nadel",NA,"Fichte",49.7,45.6,47.7,"leichter Schaden","nicht vorhanden","gradschaftig",0,0,0,0,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","leicht","nicht vorhanden","nicht vorhanden",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,154,0.5
"10",0.545748613158362,0.849358495941265,0.48336604961174,0.919893015616354,1.40079470396899,1.51086789769867,0.702737444893702,1.98500917772811,0.252145543786854,0.492616448298754,-0.0598291699550173,0.211003074601918,1.31305134296417,1.70364570617676,2.01805686950684,1.64270067214966,2.11252808570862,2.85074905828804,2.43341263057059,609.71971451529,0.548880249447344,0.758199503460239,0.501018434580274,0.426534589712485,0.073566697537899,0.319892138242722,0.164469987154007,0.417278319597244,0.702922940254211,0.417654175477618,-0.00777974386504265,-216.134239671189,-0.00390506212407253,-0.088356377995856,-0.357328329197498,0.0143083660282476,1.23948464542627,1.38375356793404,1.85358688235283,1.22542235255242,1.40960514545441,2.43309488281042,2.44119237443563,825.853954186479,0.552785311571417,0.846555881456095,0.858346763777772,0.412226223684237,0.183955384554774,0.216786584460691,0.167224341649747,0.199487545439757,0.237694544904549,0.301987998036582,0.286880255126803,26.053513397631,0.0752233316901432,0.122120613242463,0.103124259241248,0.0517331309925982,0.337069815881319,0.255235669621985,0.34595797901832,0.216859506543916,0.16968549654783,0.199877168941483,0.408232487412418,13.1251349817182,0.298332980866526,0.247902021266657,-1.72364516035877,0.245177142988076,3676,"nadel",NA,"Fichte",48,44.9,46.5,"leichter Schaden","nicht vorhanden","gradschaftig",0,1,0,1,0,0,0,0,0,0,"gesund","keine","keine","2021/09/13","2022/01/26",NA,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",0,"nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden","nicht vorhanden",NA,"nicht vorhanden",NA,NA,NA,NA,NA,NA,151,0.5
